kabupaten,kecamatan,kelurahan,waktu_tempuh,satuan
KABUPATEN KARAWANG,RENGASDENGKLOK,RENGASDENGKLOK SELATAN,5.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,RENGASDENGKLOK UTARA,5.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,KERTASARI,10.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,DEWISARI,15.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,AMANSARI,10.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,KARYASARI,15.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,DUKUHKARYA,30.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,KALANGSARI,30.0,MENIT
KABUPATEN KARAWANG,RENGASDENGKLOK,KALANGSURYA,60.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,WALUYA,15.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,MULYAJAYA,10.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,KUTAKARYA,10.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,KUTAGANDOK,10.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,KUTAMUKTI,10.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,KUTAJAYA,7.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,SAMPALAN,3.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,SINDANGMULYA,7.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,SINDANGMUKTI,7.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,KUTARAJA,5.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,SINDANGSARI,5.0,MENIT
KABUPATEN KARAWANG,KUTAWALUYA,SINDANGKARYA,10.0,MENIT
KABUPATEN KARAWANG,PEDES,PAYUNGSARI,200.0,MENIT
KABUPATEN KARAWANG,PEDES,KARANGJAYA,20.0,MENIT
KABUPATEN KARAWANG,PEDES,KERTARAHARJA,20.0,MENIT
KABUPATEN KARAWANG,PEDES,SUNGAIBUNTU,5.0,MENIT
KABUPATEN KARAWANG,PEDES,DONGKAL,16.0,MENIT
KABUPATEN KARAWANG,PEDES,KERTAMULYA,20.0,MENIT
KABUPATEN KARAWANG,PEDES,PUSPASARI,10.0,MENIT
KABUPATEN KARAWANG,PEDES,LABANJAYA,15.0,MENIT
KABUPATEN KARAWANG,PEDES,JATIMULYA,25.0,MENIT
KABUPATEN KARAWANG,PEDES,RANGDUMULYA,15.0,MENIT
KABUPATEN KARAWANG,PEDES,KENDALJAYA,20.0,MENIT
KABUPATEN KARAWANG,PEDES,MALANGSARI,25.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,DAWUAN TIMUR,15.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,KALIHURIP,7.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,CIKAMPEK KOTA,10.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,DAWUAN TENGAH,10.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,CIKAMPEK SELATAN,5.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,CIKAMPEK PUSAKA,10.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,CIKAMPEK BARAT,3.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,CIKAMPEK TIMUR,0.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,KAMOJING,7.0,MENIT
KABUPATEN KARAWANG,CIKAMPEK,DAWUAN BARAT,15.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,CITARIK,45.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,KARANGSINOM,30.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,KARANGJAYA,14.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,PARAKAN,15.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,PARAKANMULYA,15.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,KAMURANG,15.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,CIPONDOH,7.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,KERTAWALUYA,60.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,BOJONGSARI,20.0,MENIT
KABUPATEN KARAWANG,TIRTAMULYA,TIRTASARI,20.0,MENIT
KABUPATEN KARAWANG,MAJALAYA,MAJALAYA,0.0,MENIT
KABUPATEN KARAWANG,MAJALAYA,CIRANGGON,0.0,MENIT
KABUPATEN KARAWANG,MAJALAYA,PASIRJENGKOL,120.0,MENIT
KABUPATEN KARAWANG,MAJALAYA,SARIJAYA,0.0,MENIT
KABUPATEN KARAWANG,MAJALAYA,PASIRMULYA,0.0,MENIT
KABUPATEN KARAWANG,MAJALAYA,LEMAHMULYA,0.0,MENIT
KABUPATEN KARAWANG,MAJALAYA,BANGLE,0.0,MENIT
